n,gadget_count,all_candidates,density_valid_candidates,density_valid_fraction,density_valid_accepted,density_valid_acceptance_rate,maximum_p_value_among_density_valid,median_p_value_among_density_valid,maximum_density_mismatch_in_valid_subset
96,1,60,56,0.9333333333333333,38,0.6785714285714286,0.8235294117647058,0.12443438914027144,0.0164473684210526
96,2,60,59,0.9833333333333333,3,0.05084745762711865,0.3438914027149321,0.004524886877828,0.0010964912280702
96,3,60,60,1.0,0,0.0,0.004524886877828,0.004524886877828,0.0017543859649122
128,1,60,56,0.9333333333333333,31,0.5535714285714286,0.986425339366516,0.07692307692307684,0.0055364173228346
128,2,60,60,1.0,5,0.08333333333333333,0.7058823529411765,0.004524886877828,0.0007381889763779
128,3,60,60,1.0,0,0.0,0.004524886877828,0.004524886877828,0.0011072834645669
192,1,60,57,0.95,38,0.6666666666666666,0.9049773755656108,0.1628959276018099,0.0149978184991274
192,2,60,60,1.0,17,0.2833333333333333,0.7963800904977375,0.004524886877828,0.000272687609075
192,3,60,60,1.0,2,0.03333333333333333,0.3710407239819004,0.004524886877828,0.000381762652705
