sample_index,target_ordering_fraction,ordering_fraction,ordering_fraction_mismatch,q_score,p_value,global_pass,local_scan_run,local_pass,local_channel
0,0.4857843137254902,0.48658088235294117,0.0007965686274509776,6613399.490452645,0.8681318681318682,True,True,True,none
1,0.5006740196078432,0.5019301470588236,0.00125612745098036,6624274.000982714,0.42857142857142855,True,True,True,none
2,0.49607843137254903,0.4970588235294118,0.0009803921568627416,6633011.658402057,0.0989010989010989,True,True,True,none
3,0.502389705882353,0.502389705882353,0.0,6614882.306077334,0.8351648351648352,True,True,True,none
4,0.5034313725490196,0.5033700980392157,6.127450980386584e-05,6628802.609760451,0.18681318681318682,True,False,,
5,0.5096200980392157,0.5093443627450981,0.0002757352941176183,6613766.865525889,0.8461538461538461,True,False,,
6,0.49583333333333335,0.49574142156862744,9.191176470590978e-05,6623848.801189802,0.42857142857142855,True,False,,
7,0.5027573529411765,0.5024203431372549,0.0003370098039215952,6629705.343227555,0.12087912087912088,True,False,,
8,0.5025122549019608,0.5028186274509804,0.00030637254901955124,6624398.1919857105,0.4175824175824176,True,False,,
9,0.4965686274509804,0.4964767156862745,9.191176470590978e-05,6618472.893760015,0.6923076923076923,True,False,,
10,0.528921568627451,0.5263480392156863,0.0025735294117646967,6612062.615814045,0.9120879120879121,True,False,,
11,0.47267156862745097,0.4840379901960784,0.011366421568627438,6632635.427311193,0.0989010989010989,True,False,,
12,0.48486519607843137,0.4857843137254902,0.0009191176470588203,6637815.666601696,0.04395604395604396,False,False,,
13,0.5208026960784313,0.5216299019607843,0.000827205882352966,6633052.459745539,0.0989010989010989,True,False,,
14,0.47503063725490197,0.4786764705882353,0.003645833333333348,6631268.834358895,0.10989010989010989,True,False,,
15,0.5058210784313726,0.505484068627451,0.0003370098039215952,6614060.769879467,0.8461538461538461,True,False,,
