copula,first_marginal,second_marginal,total_variation,jensen_shannon_bits,chi_square,degrees_freedom,p_value,log10_p_value
independence,uniform,beta_skew,0.04769,0.002539747548373755,702.9876748438145,719,0.658295856040486,-0.1815788787745696
independence,uniform,power_anisotropic,0.04618,0.0024069582652366315,666.2378418762019,719,0.9206193299492965,-0.035919910604132445
independence,beta_skew,power_anisotropic,0.04885,0.0026940067971741146,745.534037265175,719,0.23921787759399846,-0.6212063671155028
gaussian_positive,uniform,beta_skew,0.0385,0.0026627161024273815,729.6175352282905,719,0.3835445051946549,-0.4161842347423462
gaussian_positive,uniform,power_anisotropic,0.038770000000000006,0.00249382011987726,687.0644463327914,719,0.7987923006636758,-0.09756612982461339
gaussian_positive,beta_skew,power_anisotropic,0.040440000000000004,0.002623367185592323,722.679412125595,719,0.45444548501973736,-0.3425182069966987
gaussian_negative,uniform,beta_skew,0.04083,0.0027201828133567576,748.1053915646773,719,0.2191899437232261,-0.6591793748486908
gaussian_negative,uniform,power_anisotropic,0.04029,0.0027050028135061125,744.3577509517174,719,0.24871878539313522,-0.6042914118170158
gaussian_negative,beta_skew,power_anisotropic,0.039360000000000006,0.0026225156241984115,722.4461752918854,719,0.45687583731319353,-0.3402018097688356
