n,model,ensembles,bits_per_ensemble,theoretical_probability,empirical_probability,absolute_probability_error,known_flip_rate,theoretical_noisy_probability,empirical_noisy_probability,absolute_noisy_probability_error
32,uniform,5000,32,0.5,0.4985125,0.001487499999999975,0.15,0.5,0.49934375,0.0006562500000000249
32,power_anisotropic,5000,32,0.1591035847462855,0.1583125,0.0007910847462855031,0.15,0.26137250932239986,0.26104375,0.00032875932239984085
32,beta_skew,5000,32,0.109375,0.1092,0.0001749999999999946,0.15,0.2265625,0.226125,0.00043750000000000733
64,uniform,5000,64,0.5,0.499565625,0.00043437499999998685,0.15,0.5,0.4990625,0.00093749999999998
64,power_anisotropic,5000,64,0.1591035847462855,0.15999375,0.0008901652537144922,0.15,0.26137250932239986,0.262440625,0.0010681156776001233
64,beta_skew,5000,64,0.109375,0.10948125,0.00010625000000000218,0.15,0.2265625,0.22715,0.0005874999999999908
128,uniform,5000,128,0.5,0.5004359375,0.0004359375000000387,0.15,0.5,0.49979375,0.00020625000000001892
128,power_anisotropic,5000,128,0.1591035847462855,0.1595171875,0.0004136027537144926,0.15,0.26137250932239986,0.262821875,0.001449365677600123
128,beta_skew,5000,128,0.109375,0.1097078125,0.0003328125000000015,0.15,0.2265625,0.2274890625,0.0009265625000000055
256,uniform,5000,256,0.5,0.5003375,0.0003374999999999906,0.15,0.5,0.50026640625,0.000266406249999962
256,power_anisotropic,5000,256,0.1591035847462855,0.1591953125,9.172775371449338e-05,0.15,0.26137250932239986,0.261421875,4.936567760016608e-05
256,beta_skew,5000,256,0.109375,0.10982890625,0.00045390624999999685,0.15,0.2265625,0.226696875,0.00013437499999999214
