eta,discrete_contraction,delta_tau,physical_rate_lambda,lambda_times_delta_tau,reconstructed_contraction,reconstruction_error
0.1,0.95,0.25,0.2051731775502023,0.05129329438755058,0.95,0.0
0.1,0.95,1.0,0.05129329438755058,0.05129329438755058,0.95,0.0
0.1,0.95,4.0,0.012823323596887645,0.05129329438755058,0.95,0.0
0.35,0.825,0.25,0.7694875705898245,0.19237189264745613,0.825,0.0
0.35,0.825,1.0,0.19237189264745613,0.19237189264745613,0.825,0.0
0.35,0.825,4.0,0.04809297316186403,0.19237189264745613,0.825,0.0
0.8,0.6,0.25,2.043302495063963,0.5108256237659907,0.6,0.0
0.8,0.6,1.0,0.5108256237659907,0.5108256237659907,0.6,0.0
0.8,0.6,4.0,0.12770640594149768,0.5108256237659907,0.6,0.0
