n,sample_index,gauge_equivalent_path_identical,gauge_inequivalent_path_diverged,first_divergence_step
16,0,True,True,4
16,1,True,True,2
16,2,True,True,2
16,3,True,True,1
16,4,True,True,2
16,5,True,True,2
16,6,True,True,2
16,7,True,True,1
16,8,True,True,4
16,9,True,True,1
16,10,True,True,5
16,11,True,True,1
16,12,True,True,2
16,13,True,True,1
16,14,True,True,4
16,15,True,True,1
16,16,True,True,1
16,17,True,True,1
16,18,True,True,3
16,19,True,True,2
16,20,True,True,4
16,21,True,True,2
16,22,True,True,2
16,23,True,True,1
16,24,True,True,1
16,25,True,True,1
16,26,True,True,1
16,27,True,True,2
16,28,True,True,4
16,29,True,True,1
16,30,True,True,11
16,31,True,True,2
16,32,True,True,6
16,33,True,True,8
16,34,True,True,2
16,35,True,True,2
16,36,True,True,2
16,37,True,True,2
16,38,True,True,3
16,39,True,True,7
16,40,True,True,2
16,41,True,True,1
16,42,True,True,2
16,43,True,True,2
16,44,True,True,2
16,45,True,True,1
16,46,True,True,4
16,47,True,True,1
16,48,True,True,1
16,49,True,True,1
16,50,True,True,4
16,51,True,True,1
16,52,True,True,1
16,53,True,True,2
16,54,True,True,2
16,55,True,True,1
16,56,True,True,2
16,57,True,True,1
16,58,True,True,8
16,59,True,True,2
16,60,True,True,2
16,61,True,True,1
16,62,True,True,1
16,63,True,True,1
16,64,True,True,1
16,65,True,True,2
16,66,True,True,4
16,67,True,True,1
16,68,True,True,1
16,69,True,True,1
16,70,True,True,1
16,71,True,True,1
16,72,True,True,2
16,73,True,True,1
16,74,True,True,1
16,75,True,True,4
16,76,True,True,1
16,77,True,True,1
16,78,True,True,1
16,79,True,True,1
32,0,True,True,1
32,1,True,True,2
32,2,True,True,1
32,3,True,True,2
32,4,True,True,3
32,5,True,True,3
32,6,True,True,2
32,7,True,True,1
32,8,True,True,1
32,9,True,True,1
32,10,True,True,1
32,11,True,True,1
32,12,True,True,1
32,13,True,True,1
32,14,True,True,2
32,15,True,True,1
32,16,True,True,1
32,17,True,True,6
32,18,True,True,1
32,19,True,True,1
32,20,True,True,2
32,21,True,True,1
32,22,True,True,1
32,23,True,True,2
32,24,True,True,1
32,25,True,True,1
32,26,True,True,3
32,27,True,True,4
32,28,True,True,5
32,29,True,True,1
32,30,True,True,2
32,31,True,True,1
32,32,True,True,1
32,33,True,True,1
32,34,True,True,1
32,35,True,True,1
32,36,True,True,1
32,37,True,True,3
32,38,True,True,1
32,39,True,True,1
32,40,True,True,1
32,41,True,True,1
32,42,True,True,2
32,43,True,True,1
32,44,True,True,1
32,45,True,True,1
32,46,True,True,2
32,47,True,True,1
32,48,True,True,1
32,49,True,True,3
32,50,True,True,2
32,51,True,True,2
32,52,True,True,3
32,53,True,True,1
32,54,True,True,2
32,55,True,True,1
32,56,True,True,1
32,57,True,True,2
32,58,True,True,1
32,59,True,True,1
32,60,True,True,1
32,61,True,True,1
32,62,True,True,2
32,63,True,True,1
32,64,True,True,4
32,65,True,True,2
32,66,True,True,2
32,67,True,True,1
32,68,True,True,1
32,69,True,True,1
32,70,True,True,3
32,71,True,True,3
32,72,True,True,1
32,73,True,True,2
32,74,True,True,1
32,75,True,True,1
32,76,True,True,1
32,77,True,True,1
32,78,True,True,1
32,79,True,True,3
64,0,True,True,1
64,1,True,True,2
64,2,True,True,1
64,3,True,True,1
64,4,True,True,2
64,5,True,True,2
64,6,True,True,2
64,7,True,True,1
64,8,True,True,1
64,9,True,True,1
64,10,True,True,2
64,11,True,True,1
64,12,True,True,2
64,13,True,True,1
64,14,True,True,1
64,15,True,True,1
64,16,True,True,1
64,17,True,True,2
64,18,True,True,3
64,19,True,True,1
64,20,True,True,1
64,21,True,True,2
64,22,True,True,1
64,23,True,True,2
64,24,True,True,2
64,25,True,True,1
64,26,True,True,3
64,27,True,True,1
64,28,True,True,1
64,29,True,True,2
64,30,True,True,1
64,31,True,True,2
64,32,True,True,1
64,33,True,True,1
64,34,True,True,1
64,35,True,True,1
64,36,True,True,2
64,37,True,True,3
64,38,True,True,1
64,39,True,True,1
64,40,True,True,1
64,41,True,True,1
64,42,True,True,2
64,43,True,True,2
64,44,True,True,1
64,45,True,True,1
64,46,True,True,1
64,47,True,True,1
64,48,True,True,1
64,49,True,True,1
64,50,True,True,2
64,51,True,True,3
64,52,True,True,1
64,53,True,True,2
64,54,True,True,1
64,55,True,True,1
64,56,True,True,2
64,57,True,True,1
64,58,True,True,1
64,59,True,True,2
64,60,True,True,3
64,61,True,True,1
64,62,True,True,1
64,63,True,True,1
64,64,True,True,1
64,65,True,True,1
64,66,True,True,2
64,67,True,True,1
64,68,True,True,1
64,69,True,True,1
64,70,True,True,1
64,71,True,True,2
64,72,True,True,2
64,73,True,True,1
64,74,True,True,4
64,75,True,True,2
64,76,True,True,4
64,77,True,True,1
64,78,True,True,1
64,79,True,True,1
