n,sample_index,contrast_rmse,comparisons
16,0,0.014010245282612289,36
16,1,0.01344745293344545,46
16,2,0.01271342146231227,33
16,3,0.012997224139227324,53
16,4,0.010570553629410596,44
16,5,0.012127222403172242,44
16,6,0.011542087422973104,40
16,7,0.010838322674819854,41
16,8,0.010492005559839012,42
16,9,0.01236101030065798,42
16,10,0.01193084754793979,43
16,11,0.01384980176104697,40
16,12,0.012965402431764758,45
16,13,0.012452690119486708,39
16,14,0.01059476834146039,42
16,15,0.01397991795257796,40
16,16,0.010991634964904922,32
16,17,0.012411060519958932,38
16,18,0.013359229371044655,46
16,19,0.012051661703730501,46
16,20,0.01246760915472417,43
16,21,0.0121319908754646,33
16,22,0.013782468241418525,45
16,23,0.01028383331548342,39
16,24,0.011922553777600818,41
16,25,0.014486065385409932,48
16,26,0.014254372870888083,44
16,27,0.012999174449781896,39
16,28,0.013460183936685462,38
16,29,0.01143659078551937,47
16,30,0.012697280319506152,44
16,31,0.01242274968493294,31
16,32,0.011542683537917302,43
16,33,0.010158551439041924,45
16,34,0.011344386140907083,34
16,35,0.016096601213362427,44
16,36,0.011696350319793441,41
16,37,0.014894318970011353,41
16,38,0.010656291938777266,35
16,39,0.009011813814257464,33
16,40,0.012839327558250515,37
16,41,0.013170983870243524,41
16,42,0.011461021269604788,37
16,43,0.013530190329698369,40
16,44,0.011987950473633043,39
16,45,0.014793980191885133,38
16,46,0.01526329128468515,42
16,47,0.014035397189058356,39
16,48,0.01646384850669292,43
16,49,0.011133444015947432,39
16,50,0.012341623509173697,38
16,51,0.011461642267568054,40
16,52,0.012044040213010521,42
16,53,0.013716608578252442,45
16,54,0.013491218714599292,48
16,55,0.011991863052691612,44
16,56,0.014356130386296018,39
16,57,0.013048622193800126,41
16,58,0.01422678406807311,37
16,59,0.013164658087574362,40
16,60,0.01117475167315741,34
16,61,0.015315166370379276,49
16,62,0.010135818369855025,37
16,63,0.011782811921403895,48
16,64,0.0159908757287784,42
16,65,0.0115208921918394,34
16,66,0.012316071356254397,36
16,67,0.012121795556240472,44
16,68,0.01175821438214114,33
16,69,0.01635989066787702,52
16,70,0.014959896401488,50
16,71,0.014752486237937283,54
16,72,0.01448339851174501,45
16,73,0.0159512201701568,50
16,74,0.011770554972649573,39
16,75,0.0120745953749537,47
16,76,0.010391163959520432,38
16,77,0.013456271560730483,45
16,78,0.011693202177147614,39
16,79,0.01423755254818409,45
32,0,0.016336739273142206,145
32,1,0.017334076128530856,156
32,2,0.014789643881903642,132
32,3,0.015619148582337133,135
32,4,0.015642219506316987,135
32,5,0.014991806374378755,159
32,6,0.01538583950007614,129
32,7,0.015874204349124392,145
32,8,0.015837679629733002,154
32,9,0.014736136619763685,150
32,10,0.016172638465738777,162
32,11,0.014201225126135216,142
32,12,0.01588756345930215,146
32,13,0.015717400693838226,147
32,14,0.015563014500960221,154
32,15,0.017958646233569322,146
32,16,0.015981174762180535,146
32,17,0.01639192080193018,126
32,18,0.013315775748380446,135
32,19,0.01642873815788755,139
32,20,0.016773944831037616,132
32,21,0.01631147786164045,163
32,22,0.014095699225232369,133
32,23,0.01868624852370852,152
32,24,0.015143099167845333,156
32,25,0.013661371803157067,123
32,26,0.01496218095867593,162
32,27,0.0156848353940398,151
32,28,0.014476840559489038,141
32,29,0.01492694275081247,156
32,30,0.0144005510201684,143
32,31,0.01637747280314779,152
32,32,0.016747079543111776,129
32,33,0.018644713545377133,136
32,34,0.014336027461449958,145
32,35,0.018253840961792216,133
32,36,0.014157733848424985,161
32,37,0.015851341458115238,134
32,38,0.015269174105610977,151
32,39,0.015544700431925339,146
32,40,0.01574049127478569,141
32,41,0.015320072790437216,132
32,42,0.017099612519219248,134
32,43,0.015120640511008504,137
32,44,0.013816479024968638,137
32,45,0.01628143412469467,133
32,46,0.016855213528724124,140
32,47,0.013690199179522236,134
32,48,0.01775354021027474,146
32,49,0.014762689442033827,149
32,50,0.014979742305020007,129
32,51,0.014833142371326345,147
32,52,0.0145296315955123,151
32,53,0.014660306131673672,132
32,54,0.01744777320357053,146
32,55,0.014057832298258412,150
32,56,0.015168358059014562,139
32,57,0.016055373002835008,147
32,58,0.01641973704000458,156
32,59,0.016444725211509095,142
32,60,0.015624168883834296,154
32,61,0.014690164250185276,132
32,62,0.017515056906891643,143
32,63,0.017212315870788225,161
32,64,0.01580500706108927,141
32,65,0.015507765667439104,164
32,66,0.014459350564202082,149
32,67,0.016739901680204127,167
32,68,0.014488924848809818,136
32,69,0.015915154256624656,155
32,70,0.014142171607085568,143
32,71,0.015414730619973541,164
32,72,0.018252526379812704,155
32,73,0.01482692156430937,145
32,74,0.01405376996700205,137
32,75,0.015205298260359936,137
32,76,0.014845769794145383,143
32,77,0.013879986152335825,153
32,78,0.01676534141101517,146
32,79,0.014936662597067845,130
64,0,0.020042685010497715,550
64,1,0.021325868658712794,545
64,2,0.0196727520170663,530
64,3,0.01951211998666968,532
64,4,0.01925170223074019,555
64,5,0.01830948635714395,504
64,6,0.01879764120672515,540
64,7,0.01951321684771991,492
64,8,0.019618131615610913,516
64,9,0.019882139552414906,559
64,10,0.01993283100611593,516
64,11,0.019428622629966745,499
64,12,0.01949084330872696,522
64,13,0.01775902388364832,521
64,14,0.019376952394651197,540
64,15,0.01896761957864725,500
64,16,0.020880596810421585,528
64,17,0.019855721641403277,528
64,18,0.01878088120497829,532
64,19,0.020098107003227967,542
64,20,0.02004687858436642,566
64,21,0.0189290269658231,546
64,22,0.01959184828193903,518
64,23,0.020501823266272545,539
64,24,0.019328103317369352,584
64,25,0.017919960415275167,538
64,26,0.020195355651304626,510
64,27,0.01910076522507485,520
64,28,0.020318564110287547,516
64,29,0.019386334090524628,552
64,30,0.01810146579847122,534
64,31,0.019169052826582007,544
64,32,0.020483838684914827,570
64,33,0.020225457412693566,565
64,34,0.018722739433784504,497
64,35,0.019349955079027988,527
64,36,0.01997909348629435,532
64,37,0.021010181062513733,535
64,38,0.019316444386177505,528
64,39,0.019582116873622848,530
64,40,0.01966628763267328,574
64,41,0.02223879238367362,563
64,42,0.019625721661564895,570
64,43,0.01982898780711937,531
64,44,0.01970139895469394,564
64,45,0.01840266040383931,524
64,46,0.021077014096964542,526
64,47,0.018835781598387193,522
64,48,0.02134138038631668,552
64,49,0.019439552162899738,523
64,50,0.01962796959697555,546
64,51,0.019247528792171203,554
64,52,0.01993185517118015,543
64,53,0.019229568524116152,523
64,54,0.019795926562626943,500
64,55,0.01904415194553755,527
64,56,0.02016566146615542,553
64,57,0.020598856923480395,557
64,58,0.020347720302696045,530
64,59,0.018356351038213557,542
64,60,0.019580049046922815,536
64,61,0.019211847653902027,506
64,62,0.019409624244524755,518
64,63,0.019077750280196322,548
64,64,0.01963728913183508,567
64,65,0.018963848595575532,537
64,66,0.01830272775369562,515
64,67,0.02122524838305893,526
64,68,0.019962063196302195,549
64,69,0.017902316775768284,542
64,70,0.01891330754912335,506
64,71,0.020642654960206966,540
64,72,0.02059981159545824,541
64,73,0.01870453103066431,508
64,74,0.02038649677389692,566
64,75,0.019690446246692705,559
64,76,0.01944159238481951,548
64,77,0.019158881989073173,552
64,78,0.02014221852305652,534
64,79,0.01923782281246511,526
