depth,empirical_finite_tail_mse,finite_depth_theory,infinite_tail_bound,relative_error_to_finite_theory
1,0.6891925913531392,0.6889036508253684,0.68890365448505,0.000419420810768755
2,0.35741915136040564,0.3571276508253684,0.35712765448504985,0.0008162362515575067
4,0.09589266031101336,0.09597396794280838,0.09597397160248981,0.0008471842264922672
6,0.025885698680071883,0.025791903266252574,0.025791906925934003,0.0036366224256910895
8,0.0069312423230198416,0.006931276267248105,0.006931279926929529,4.897255130870757e-06
10,0.0018648021476925852,0.0018626985268385228,0.0018627021865199466,0.0011293404830425332
14,0.00013445839727927968,0.0001345214627001792,0.00013452512238160317,0.0004688130773605104
18,9.710519602144082e-06,9.711800300719335e-06,9.71545998214327e-06,0.00013187035725577948
22,6.961176317695261e-07,6.979948571006544e-07,7.016545385245867e-07,0.002689454387853121
26,4.6957913517677525e-08,4.7014099574293224e-08,5.067378099822537e-08,0.0011950894970754902
