amplitude,matched_effective_score,initial_effective_score_error,future_effective_score_difference
0.2,-0.025712241234363636,0.0,0.008150050653517291
0.23898305084745763,-0.03654112206438195,0.0,0.01154591837297739
0.27796610169491526,-0.04916597132062887,0.0,0.015478027190537993
0.3169491525423729,-0.06352885954905364,4.163336342344337e-17,0.019916577051662686
0.3559322033898305,-0.07956614849543275,0.0,0.02482927800428221
0.3949152542372881,-0.09720952765618351,0.0,0.0301820123023316
0.43389830508474575,-0.1163870572717723,0.0,0.03593948633666774
0.4728813559322034,-0.1370241887088835,0.0,0.04206585201228778
0.5118644067796609,-0.15904473734159344,0.0,0.04852528086041637
0.5508474576271186,-0.18237178786109673,2.7755575615628914e-17,0.05528247826012414
0.5898305084745763,-0.20692851702141168,0.0,0.06230312930925086
0.6288135593220339,-0.2326389238189161,0.0,0.06955427184386317
0.6677966101694914,-0.2594284617317514,0.0,0.07700459564370879
0.706779661016949,-0.287224571716448,0.0,0.08462466983712497
0.7457627118644068,-0.31595711805773957,0.0,0.09238710286238555
0.7847457627118644,-0.3455587318476835,0.0,0.10026664104392674
0.8237288135593219,-0.37596506884308784,0.0,0.1082402129387447
0.8627118644067795,-0.40711498976895083,0.0,0.11628692717032507
0.9016949152542373,-0.4389506718805351,0.0,0.12438803158319672
0.9406779661016949,-0.4714176608624921,0.0,0.13252684131599246
0.9796610169491524,-0.5044648720285729,0.0,0.1406886428980762
1.01864406779661,-0.5380445493845252,0.0,0.1488605808095046
1.0576271186440678,-0.572112190515219,0.0,0.15703153217942595
1.0966101694915253,-0.6066264445284829,0.0,0.16519197449360795
1.135593220338983,-0.6415489894929697,0.0,0.17333385038353016
1.1745762711864405,-0.6768443949931607,0.0,0.1814504328106218
1.213559322033898,-0.7124799746270076,0.0,0.18953619326204807
1.2525423728813558,-0.7484256325158104,0.0,0.1975866749519376
1.2915254237288134,-0.784653707198293,0.0,0.20559837248001267
1.330508474576271,-0.8211388156508452,0.0,0.21356861893862755
1.3694915254237288,-0.8578576996176295,0.0,0.2214954810758658
1.4084745762711863,-0.8947890759477352,0.0,0.2293776628106996
1.447457627118644,-0.9319134922190146,0.0,0.23721441714892355
1.4864406779661015,-0.9692131885750166,0.0,0.2450054663576331
1.525423728813559,-1.0066719664068509,0.0,0.25275093011339367
1.5644067796610168,-1.0442750642695948,0.0,0.26045126123717444
1.6033898305084744,-1.0820090412266592,0.0,0.2681071885604729
1.642372881355932,-1.119861667659222,0.0,0.27571966642546997
1.6813559322033897,-1.1578218234555764,0.0,0.2832898303018091
1.7203389830508473,-1.1958794034018088,0.0,0.2908189579989936
1.7593220338983049,-1.2340252295257876,0.0,0.2983084359622771
1.7983050847457624,-1.2722509700968532,0.0,0.3057597301579408
1.83728813559322,-1.3105490649501994,2.220446049250313e-16,0.3131743610782699
1.8762711864406778,-1.3489126567845744,0.0,0.32055388242515503
1.9152542372881354,-1.387335528071923,0.0,0.32789986306225183
1.954237288135593,-1.4258120432157246,0.0,0.33521387185776286
1.9932203389830507,-1.4643370955991646,0.0,0.34249746507210577
2.0322033898305083,-1.5029060591733319,0.0,0.34975217597620323
2.071186440677966,-1.5415147442481698,0.0,0.3569795064164223
2.1101694915254234,-1.5801593571637966,0.0,0.3641809200708548
2.1491525423728812,-1.6188364635363324,0.0,0.3713578371684976
2.188135593220339,-1.6575429547897753,0.0,0.3785116304677969
2.2271186440677964,-1.6962760177033307,0.0,0.38564362231393745
2.266101694915254,-1.7350331067214548,0.0,0.3927550826152064
2.305084745762712,-1.7738119187914554,0.0,0.3998472275977809
2.3440677966101693,-1.8126103705105905,0.0,0.40692121921545343
2.383050847457627,-1.8514265773810359,0.0,0.41397816510629504
2.422033898305085,-1.8902588349867302,0.0,0.421019119002064
2.461016949152542,-1.9291056019209702,0.0,0.4280450815085184
2.5,-1.9679654843075451,0.0,0.4350570011857835
