lambda,sample_size,mean_estimate,bias,rmse,median_absolute_error,delta_method_rmse,rmse_to_delta_ratio
0.5,32,-0.2357886875655682,0.014211312434431808,0.18728711029429201,0.12840005239105778,0.1884228677362906,0.9939722951059838
0.5,128,-0.25061985227988237,-0.0006198522798823784,0.09260833657553524,0.06171492150885616,0.0942114338681453,0.9829840474049711
0.5,512,-0.24954705198750252,0.00045294801249746406,0.04794193180289768,0.03185575567219123,0.04710571693407265,1.017751876486571
0.5,2048,-0.24983127994614657,0.0001687200538534316,0.023969850744293374,0.016318053082657435,0.023552858467036326,1.0177045294880303
1.0,32,-0.47789906778835506,0.022100932211644945,0.2291050751339796,0.1521108496473922,0.23172463645315133,0.9886953698179548
1.0,128,-0.49352142565195406,0.006478574348045909,0.11403668050753839,0.0768020891501553,0.11586231822657567,0.9842430416810137
1.0,512,-0.49750280983495804,0.002497190165041958,0.057936789553081264,0.03736535317326384,0.05793115911328783,1.000097191906387
1.0,2048,-0.4986216775427403,0.0013783224572596904,0.028870139718081177,0.01957880693047631,0.028965579556643917,0.9967050602810794
2.0,32,-0.8683903019385341,0.13160969806146602,0.3511504409680199,0.25044910050664937,0.6470977879223041,0.542654367735502
2.0,128,-0.9553942268253507,0.044605773174649206,0.20631930084834277,0.1332373667929191,0.32354889396115205,0.6376758032531403
2.0,512,-0.9833110831908531,0.01668891680914679,0.12659240495614035,0.07983087292256075,0.16177444698057603,0.7825241088374116
2.0,2048,-0.995320389982205,0.00467961001779498,0.07205542872952281,0.044337145878548645,0.08088722349028801,0.8908134761007637
